Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1384,"Dafina",5.5,28.6,-115.9,
1390,"Dali Chasma",2077,-17.6,167,
1397,"Damona Corona",140,48.9,28,
1401,"Danilova",48.8,-26.4,-22.8,
1406,"Danu Montes",808,58.5,-26,
1408,"Danute",12.3,-63.5,56.5,
1410,"Daphne",15.5,41.3,-79.6,
1411,"Darago Fluctus",775,-11.5,-46.5,
1412,"Darclée Patera",15,-37.4,-96.2,
1414,"Darline",13,-19.3,-127.4,
1422,"Dashkova",45.1,78.2,-53.5,
1423,"Datsolalee",17.5,38.3,171.8,
1425,"Daura Chasma",729,73.8,53.8,
1427,"Davies Patera",93,47.2,-90.7,
1434,"de Ayala",19,12.4,31.9,
1435,"de Beausoleil",28.2,-5,102.8,
1436,"de Beauvoir",52.5,2,96.1,
1441,"de Lalande",21.3,20.5,-5,
1446,"de Staël",25,37.4,-35.7,
1450,"De Witt",20.7,-6.5,-84.4,
1453,"Deborah",9.7,-37.3,10.6,
1457,"Defa",8.5,32.2,11.3,
1459,"Degu",5.5,27.3,-70.1,
1464,"Deken",48,47.1,-71.5,
1465,"Dekla Tessera",1363,57.4,71.8,
1469,"Deledda",32,76,127.5,
1471,"Delilah",18.5,-57.9,-109.8,
1475,"Deloria",31.9,-32,97.1,
1482,"Demeter Corona",560,53.9,-65.2,
1485,"Demvamvit Corona",370,-65.5,38,
1486,"Dena",2.4,-20.7,-21.3,
1488,"Denise",2,-14.4,94.7,
1491,"Dennitsa Dorsa",872,85.6,-154.1,
1492,"Deohako Corona",300,-67.5,118,
1494,"Derceto Corona",200,-46.8,20.2,
1505,"Destinnová Patera",15,-31.5,-109.8,
1512,"Devana Chasma",2000,22,-76.5,
1513,"Devorah",4.8,-22.5,-16.6,
1514,"Devorguilla",22.9,15.3,4,
1516,"Dewi Ratih Chasma",1000,-6.5,-0.3,
1517,"Dheepa",4.7,-21.6,176.3,
1518,"Dhisana Corona",100,14.5,111.7,
1519,"Dhorani Corona",200,-8,-117,
1525,"Diana Chasma",938,-14.8,154.8,
1528,"Dickinson",67.5,74.6,177.2,
1530,"Didilia Corona",320,19,38,
1532,"Dietrich Patera",100,-5.3,-124.7,
1533,"Dilbat Vallis",420,-55,-176,
1534,"Dilga Corona",220,-18.7,-109.6,
1537,"Dinah",15.6,-62.9,37.1,
1541,"Dione Regio",2300,-31.5,-32,
1546,"Disani Corona",300,2.7,57.5,
1547,"Discordia Linea",800,-58,-113.5,
1551,"Dix",63.3,-37,-31,
1554,"Djabran Fluctus",300,-43.5,-177,
1556,"Djata Fluctus",280,66.5,-52.5,
1560,"Dodola Dorsa",607,46.8,-87.4,
