Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1591,"Dorsa Burnet",194.99,26.18,-56.78,
1592,"Dorsa Cato",128.64,0.21,47.7,
1593,"Dorsa Dana",82.31,2.26,89.6,
1594,"Dorsa Ewing",261.57,-11.06,-38.31,
1595,"Dorsa Geikie",218.35,-4.21,52.83,
1596,"Dorsa Harker",213.14,13.79,63.65,
1597,"Dorsa Lister",180.09,19.76,23.52,
1598,"Dorsa Mawson",142.71,-7.77,52.48,
1599,"Dorsa Rubey",100.64,-9.88,-42.36,
1600,"Dorsa Smirnov",221.78,26.41,25.53,
1601,"Dorsa Sorby",76.03,18.65,13.7,
1602,"Dorsa Stille",66.32,26.91,-18.85,
1603,"Dorsa Tetyaev",187.53,20.02,64.06,
1604,"Dorsa Whiston",138.93,29.77,-56.96,
1605,"Dorsum Arduino",99.73,24.77,-36.27,
1606,"Dorsum Azara",103.2,26.86,19.17,
1607,"Dorsum Bucher",84.65,30.76,-39.55,
1608,"Dorsum Buckland",369.13,19.43,14.3,
1609,"Dorsum Cayeux",95.14,0.76,51.22,
1610,"Dorsum Cloos",103.09,1.15,90.41,
1611,"Dorsum Cushman",85.65,1.42,49.19,
1612,"Dorsum Gast",64.87,24.38,8.71,
1613,"Dorsum Grabau",123.69,29.76,-14.19,
1614,"Dorsum Guettard",40.46,-9.92,-18.26,
1615,"Dorsum Heim",146.79,32.2,-29.83,
1616,"Dorsum Higazy",63.1,27.93,-17.47,
1617,"Dorsum Nicol",43.74,18.32,22.66,
1618,"Dorsum Niggli",47.75,29.01,-52.28,
1619,"Dorsum Oppel",297.62,19.31,52.09,
1620,"Dorsum Owen",33.47,25.14,11.09,
1621,"Dorsum Scilla",107.52,32.34,-60,
1622,"Dorsum Termier",89.65,11.63,57.15,
1623,"Dorsum Thera",7.25,24.4,-31.42,
1624,"Dorsum Von Cotta",183.06,23.6,11.95,
1625,"Dorsum Zirkel",195.22,29.55,-24.82,
1629,"Doublet",0.13,-3.64,-17.48,
1630,"Douglass",50.95,35.5,-122.72,
1632,"Dove",30.36,-46.83,31.42,
1635,"Draper",8.28,17.56,-21.75,
1637,"Drebbel",30.23,-40.93,-49.12,
1638,"Dreyer",63.84,10.24,97.09,
1642,"Drude",27.13,-38.56,-91.89,
1644,"Dryden",54.45,-33.21,-156.15,
1645,"Drygalski",162.49,-79.57,-87.18,
1655,"Dubyago",48.12,4.38,69.95,
1657,"Dufay",36.11,5.57,169.54,
1658,"Dugan",49.65,64.12,103.11,
1662,"Dune",0.38,26.04,3.66,
1668,"Dunthorne",15.12,-30.12,-31.71,
1670,"Dunér",65.07,44.68,179.46,
1685,"Dyson",63.14,60.87,-121.71,
1689,"Dziewulski",68.9,20.99,99.02,
1694,"d'Alembert",233.55,51.07,164.89,
1695,"D'Arrest",29.67,2.26,14.6,
1697,"D'Arsonval",30.36,-10.31,124.59,
1705,"Earthlight",0.21,26.06,3.65,
1715,"Eckert",2.62,17.28,58.38,
1719,"Eddington",120.13,21.5,-72.02,
1723,"Edison",62.72,24.88,99.27,
1724,"Edith",6.92,-25.77,102.33,
1728,"Egede",34.18,48.72,10.64,
1734,"Ehrlich",33.58,40.82,-172.27,
1735,"Eichstadt",49.57,-22.63,-78.42,
1737,"Eijkman",56.36,-63.21,-142.51,
1742,"Eimmart",44.99,23.97,64.8,
1745,"Einstein",181.47,16.6,-88.65,
1746,"Einthoven",73.94,-5.06,110.06,
1759,"Elbow",0.34,26.03,3.6,
1763,"Elger",21.51,-35.4,-29.81,
1769,"Ellerman",46.21,-25.44,-120.39,
1770,"Ellison",36.99,54.93,-108.05,
1774,"Elmer",16.86,-10.23,84.18,
1777,"Elvey",80.21,9.01,-100.64,
1789,"Emden",114.64,62.76,-176.51,
1794,"Emory",0.55,20.12,30.78,
1796,"Encke",28.27,4.57,-36.68,
1797,"End",0.06,-8.91,15.51,
1799,"Endymion",122.1,53.61,56.48,
1801,"Engel'gardt (Engelhardt)",43.51,5.39,-159.47,
1815,"Epigenes",54.51,67.5,-4.62,
1817,"Epimenides",22.56,-40.92,-30.33,
1820,"Eratosthenes",58.77,14.47,-11.32,
1837,"Erro",63.75,5.68,98.54,
1842,"Esclangon",15.29,21.47,42.06,
1848,"Esnault-Pelterie",76.79,47.41,-141.83,
1849,"Espin",70.01,28.15,109.34,
1860,"Euclides",11.8,-7.4,-29.56,
1861,"Euctemon",62.7,76.26,30.57,
1863,"Eudoxus",70.16,44.27,16.23,
1866,"Euler",26.03,23.26,-29.18,
1883,"Evans",69.4,-9.63,-133.78,
1884,"Evdokimov",48.88,34.57,-153.04,
1887,"Evershed",65.28,35.3,-159.51,
1891,"Ewen",2.6,7.69,121.46,
1893,"Eötvös",101.8,-35.61,134.43,
1894,"Fabbroni",10.55,18.66,29.27,
1895,"Fabricius",78.9,-42.75,41.84,
1896,"Fabry",179.44,43.07,100.68,
1898,"Fahrenheit",6.65,13.12,61.71,
1901,"Fairouz",2.87,-26.07,102.95,
1904,"Falcon",0.12,20.31,30.31,
1907,"Family Mountain",3.39,20.38,30.34,
1911,"Faraday",69.03,-42.45,8.75,
1919,"Faustini",42.48,-87.18,84.31,
1920,"Fauth",11.94,6.23,-20.14,
1922,"Faye",38.02,-21.39,3.81,
1925,"Fechner",59.32,-58.25,125.03,
1928,"Fedorov",6.08,28.23,-37.05,
1934,"Felix",1.45,25.09,-25.38,
1936,"Feoktistov",22.06,30.73,140.5,
1939,"Fermat",37.77,-22.71,19.79,
1940,"Fermi",241.41,-19.61,123.24,
1942,"Fernelius",68.42,-38.18,4.86,
1945,"Fersman",148.14,17.9,-126.06,
1947,"Fesenkov",36.12,-23.16,135.14,
1952,"Feuillée",8.94,27.37,-9.46,
1958,"Finsch",4.05,23.58,21.27,
1959,"Finsen",72.98,-42.29,-177.72,
1963,"Firmicus",56.81,7.25,63.43,
1964,"Firsov",51,4.2,112.7,
